Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Package ID,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan or Purchase Option ID,Offer ID,Group ID,First USD 1M Eligible,Service Fee %,Fee Description,Promotion ID,Sales Channel
GPA.3382-4953-8258-81452,"Jul 1, 2026",8:53:01 PM PDT,,Charge,,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,husky,US,OR,97206,USD,3.99,1.000000,USD,3.99,,,4993951633197654550,Yes,,,,Play store
GPA.3382-4953-8258-81452,"Jul 1, 2026",8:53:01 PM PDT,,Google fee,,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,husky,US,OR,97206,USD,-0.60,1.000000,USD,-0.60,,,4993951633197654550,Yes,15,,,Play store
GPA.3382-4953-8258-81452,"Jul 1, 2026",8:53:01 PM PDT,Colombia VAT,Tax,,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,husky,US,OR,97206,USD,-0.11,1.000000,USD,-0.11,,,4993951633197654550,Yes,,,,Play store
GPA.3396-5882-6328-93317,"Jul 2, 2026",9:21:08 AM PDT,,Charge,,PSI GYM: Train Your Intuition,com.cha0smagicklabs.zenercards,Paid app,,pa2q,PE,MUNICIPALIDAD METROPOLITANA DE LIMA,15301,PEN,9.99,0.293580,USD,2.93,,,4993951633197654550,Yes,,,,Play store
GPA.3396-5882-6328-93317,"Jul 2, 2026",9:21:08 AM PDT,,Google fee,,PSI GYM: Train Your Intuition,com.cha0smagicklabs.zenercards,Paid app,,pa2q,PE,MUNICIPALIDAD METROPOLITANA DE LIMA,15301,PEN,-1.50,0.293580,USD,-0.44,,,4993951633197654550,Yes,15,,,Play store
GPA.3396-5882-6328-93317,"Jul 2, 2026",9:21:08 AM PDT,Colombia VAT,Tax,,PSI GYM: Train Your Intuition,com.cha0smagicklabs.zenercards,Paid app,,pa2q,PE,MUNICIPALIDAD METROPOLITANA DE LIMA,15301,PEN,-0.31,0.293580,USD,-0.09,,,4993951633197654550,Yes,,,,Play store
GPA.3366-4963-2192-46476,"Jul 4, 2026",1:20:33 PM PDT,,Charge,,Norse Rune Reader Divination,com.japps.norse_oracle,Paid app,,dm1q,US,MI,48161,USD,3.99,1.000000,USD,3.99,,,4993951633197654550,Yes,,,,Play store
GPA.3366-4963-2192-46476,"Jul 4, 2026",1:20:33 PM PDT,,Google fee,,Norse Rune Reader Divination,com.japps.norse_oracle,Paid app,,dm1q,US,MI,48161,USD,-0.60,1.000000,USD,-0.60,,,4993951633197654550,Yes,15,,,Play store
GPA.3366-4963-2192-46476,"Jul 4, 2026",1:20:33 PM PDT,Colombia VAT,Tax,,Norse Rune Reader Divination,com.japps.norse_oracle,Paid app,,dm1q,US,MI,48161,USD,-0.11,1.000000,USD,-0.11,,,4993951633197654550,Yes,,,,Play store
GPA.3316-8055-6262-01360,"Jul 5, 2026",8:53:57 PM PDT,,Charge,,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,e3q,US,MN,55750,USD,3.99,1.000000,USD,3.99,,,4993951633197654550,Yes,,,,Play store
GPA.3316-8055-6262-01360,"Jul 5, 2026",8:53:57 PM PDT,,Google fee,,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,e3q,US,MN,55750,USD,-0.60,1.000000,USD,-0.60,,,4993951633197654550,Yes,15,,,Play store
