Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Package ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan or Purchase Option ID,Offer ID,Group ID,First USD 1M Eligible,Promotion ID,Coupon Value,Discount Rate,Featured Product ID,Price Experiment ID,Sales Channel
GPA.3382-4953-8258-81452,2026-07-02,1782964381,Charged,husky,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,USD,3.99,0.00,3.99,Portland,OR,97206,US,,,4993951633197654550,Yes,,,,,,Play store
GPA.3396-5882-6328-93317,2026-07-02,1783009268,Charged,pa2q,PSI GYM: Train Your Intuition,com.cha0smagicklabs.zenercards,Paid app,,PEN,9.99,0.00,9.99,Los Olivos,MUNICIPALIDAD METROPOLITANA DE LIMA,15301,PE,,,4993951633197654550,Yes,,,,,,Play store
GPA.3366-4963-2192-46476,2026-07-04,1783196433,Charged,dm1q,Norse Rune Reader Divination,com.japps.norse_oracle,Paid app,,USD,3.99,0.24,4.23,MONROE,MI,48161,US,,,4993951633197654550,Yes,,,,,,Play store
GPA.3316-8055-6262-01360,2026-07-06,1783310037,Charged,e3q,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,USD,3.99,0.29,4.28,HOYT LAKES,MN,55750,US,,,4993951633197654550,Yes,,,,,,Play store
GPA.3370-3404-4476-70751,2026-07-09,1783637728,Charged,pa3q,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,USD,3.99,0.33,4.32,BALMORHEA,TX,79718,US,,,4993951633197654550,Yes,,,,,,Play store
GPA.3319-3094-8381-08127,2026-07-14,1783988597,Charged,a13x,Arcana Goetia: Ritual & Sigils,com.cha0smagick.sigilgeneratorfinal,Paid app,,USD,3.99,0.28,4.27,Thomasville,NC,27360,US,,,4993951633197654550,Yes,,,,,,Play store
GPA.3362-4062-2157-87113,2026-07-16,1784205001,Charged,OP516EL1,Arcana Goetia: Ritual & Sigils,com.cha0smagick.sigilgeneratorfinal,Paid app,,USD,3.99,0.33,4.32,DALLAS,TX,75204,US,,,4993951633197654550,Yes,,,,,,Play store
GPA.3331-2350-0932-47679,2026-07-17,1784319589,Charged,vegas,Arcana Goetia: Ritual & Sigils,com.cha0smagick.sigilgeneratorfinal,Paid app,,USD,3.99,0.33,4.32,SAN ANTONIO,TX,78228,US,,,4993951633197654550,Yes,,,,,,Play store
GPA.3386-8337-0746-14207,2026-07-19,1784433489,Charged,tegu,Tarot Rider-Waite Complete,com.cha0smagick.unofficialraiderwaite,Paid app,,USD,9.99,0.87,10.86,CASA GRANDE,AZ,85122,US,,,4993951633197654550,Yes,,,,,,Play store
GPA.3324-9989-5523-16966,2026-07-19,1784433566,Charged,tegu,Dreamachine: Lucid Dreaming,com.cha0smagick.dreammachine,Paid app,,USD,3.99,0.34,4.33,CASA GRANDE,AZ,85122,US,,,4993951633197654550,Yes,,,,,,Play store
